Filename,Publication,Issue,Publication Date,Date Added to Catalog,What's on the Cover,Folder Path
Wrestling Eye - 1986 - February.pdf,Wrestling Eye,February 1986,1986-02-01,2026-04-26,,1980s/1986/Wrestling Eye
Wrestling Eye - 1986 - June.pdf,Wrestling Eye,June 1986,1986-06-01,2026-04-26,,1980s/1986/Wrestling Eye
Wrestling Eye - 1986 - March.pdf,Wrestling Eye,March 1986,1986-03-01,2026-04-26,,1980s/1986/Wrestling Eye
Wrestling Eye - 1986 - May.pdf,Wrestling Eye,May 1986,1986-05-01,2026-04-26,,1980s/1986/Wrestling Eye
Wrestling Eye - 1986 - November.pdf,Wrestling Eye,November 1986,1986-11-01,2026-04-26,,1980s/1986/Wrestling Eye
Wrestling Power - 1986 - September.pdf,Wrestling Power,September 1986,1986-09-01,2026-04-26,,1980s/1986/Wrestling Power
Wrestling Ringside - 1986 - May.pdf,Wrestling Ringside,May 1986,1986-05-01,2026-04-26,,1980s/1986/Wrestling Ringside
Wrestling Scene - 1986 - May.pdf,Wrestling Scene,May 1986,1986-05-01,2026-04-26,,1980s/1986/Wrestling Scene
Wrestling World - 1986 - April.pdf,Wrestling World,April 1986,1986-04-01,2026-04-26,,1980s/1986/Wrestling World
Wrestling World - 1986 - August.pdf,Wrestling World,August 1986,1986-08-01,2026-04-26,,1980s/1986/Wrestling World
Wrestling World - 1986 - December.pdf,Wrestling World,December 1986,1986-12-01,2026-04-26,,1980s/1986/Wrestling World
Wrestling World - 1986 - February.pdf,Wrestling World,February 1986,1986-02-01,2026-04-26,,1980s/1986/Wrestling World
Wrestling World - 1986 - June.pdf,Wrestling World,June 1986,1986-06-01,2026-04-26,,1980s/1986/Wrestling World
Wrestling World - 1986 - October.pdf,Wrestling World,October 1986,1986-10-01,2026-04-26,,1980s/1986/Wrestling World
Wrestling's Main Event - 1986 - August.pdf,Wrestling's Main Event,August 1986,1986-08-01,2026-04-26,,1980s/1986/Wrestling's Main Event
Wrestling's Main Event - 1986 - December.pdf,Wrestling's Main Event,December 1986,1986-12-01,2026-04-26,,1980s/1986/Wrestling's Main Event
Wrestling's Main Event - 1986 - February.pdf,Wrestling's Main Event,February 1986,1986-02-01,2026-04-26,,1980s/1986/Wrestling's Main Event
Wrestling's Main Event - 1986 - January.pdf,Wrestling's Main Event,January 1986,1986-01-01,2026-04-26,,1980s/1986/Wrestling's Main Event
Wrestling's Main Event - 1986 - July.pdf,Wrestling's Main Event,July 1986,1986-07-01,2026-04-26,,1980s/1986/Wrestling's Main Event
Wrestling's Main Event - 1986 - June.pdf,Wrestling's Main Event,June 1986,1986-06-01,2026-04-26,,1980s/1986/Wrestling's Main Event
Wrestling's Main Event - 1986 - November.pdf,Wrestling's Main Event,November 1986,1986-11-01,2026-04-26,,1980s/1986/Wrestling's Main Event
Wrestling's Main Event - 1986 - October.pdf,Wrestling's Main Event,October 1986,1986-10-01,2026-04-26,,1980s/1986/Wrestling's Main Event
Wrestling's Main Event - 1986 - September.pdf,Wrestling's Main Event,September 1986,1986-09-01,2026-04-26,,1980s/1986/Wrestling's Main Event
Championship Wrestling - 1987 - May.pdf,Championship Wrestling,May 1987,1987-05-01,2026-04-26,,1980s/1987/Championship Wrestling
Inside Wrestling - 1987 - April.pdf,Inside Wrestling,April 1987,1987-04-01,2026-04-26,,1980s/1987/Inside Wrestling
Inside Wrestling - 1987 - August.pdf,Inside Wrestling,August 1987,1987-08-01,2026-04-26,,1980s/1987/Inside Wrestling
Inside Wrestling - 1987 - December.pdf,Inside Wrestling,December 1987,1987-12-01,2026-04-26,,1980s/1987/Inside Wrestling
Inside Wrestling - 1987 - February.pdf,Inside Wrestling,February 1987,1987-02-01,2026-04-26,,1980s/1987/Inside Wrestling
Inside Wrestling - 1987 - July.pdf,Inside Wrestling,July 1987,1987-07-01,2026-04-26,,1980s/1987/Inside Wrestling
Inside Wrestling - 1987 - June.pdf,Inside Wrestling,June 1987,1987-06-01,2026-04-26,,1980s/1987/Inside Wrestling
Inside Wrestling - 1987 - March.pdf,Inside Wrestling,March 1987,1987-03-01,2026-04-26,,1980s/1987/Inside Wrestling
Inside Wrestling - 1987 - May.pdf,Inside Wrestling,May 1987,1987-05-01,2026-04-26,,1980s/1987/Inside Wrestling
Inside Wrestling - 1987 - September.pdf,Inside Wrestling,September 1987,1987-09-01,2026-04-26,,1980s/1987/Inside Wrestling
Sports Review Wrestling - 1987 - January.pdf,Sports Review Wrestling,January 1987,1987-01-01,2026-04-26,,1980s/1987/Sports Review Wrestling
Sports Review Wrestling - 1987 - March.pdf,Sports Review Wrestling,March 1987,1987-03-01,2026-04-26,,1980s/1987/Sports Review Wrestling
