Filename,Publication,Issue,Publication Date,Date Added to Catalog,What's on the Cover,Folder Path
SRW - 1977 - Annual.pdf,SRW,Annual 1977,1977 (Annual),2026-04-26,,1970s/1977/SRW
Sports Review Wrestling - 1977 - August.pdf,Sports Review Wrestling,August 1977,1977-08-01,2026-04-26,,1970s/1977/Sports Review Wrestling
Sports Review Wrestling - 1977 - January.pdf,Sports Review Wrestling,January 1977,1977-01-01,2026-04-26,,1970s/1977/Sports Review Wrestling
Sports Review Wrestling - 1977 - July.pdf,Sports Review Wrestling,July 1977,1977-07-01,2026-04-26,,1970s/1977/Sports Review Wrestling
Sports Review Wrestling - 1977 - June.pdf,Sports Review Wrestling,June 1977,1977-06-01,2026-04-26,,1970s/1977/Sports Review Wrestling
Sports Review Wrestling - 1977 - March.pdf,Sports Review Wrestling,March 1977,1977-03-01,2026-04-26,,1970s/1977/Sports Review Wrestling
Sports Review Wrestling - 1977 - May (1).pdf,Sports Review Wrestling,May 1977,1977-05-01,2026-04-26,,1970s/1977/Sports Review Wrestling
Sports Review Wrestling - 1977 - May.pdf,Sports Review Wrestling,May 1977,1977-05-01,2026-04-26,,1970s/1977/Sports Review Wrestling
Sports Review Wrestling - 1977 - November.pdf,Sports Review Wrestling,November 1977,1977-11-01,2026-04-26,,1970s/1977/Sports Review Wrestling
Sports Review Wrestling 1977 Annual - 1977 - Summer.pdf,Sports Review Wrestling 1977 Annual,Summer 1977,1977 (Summer),2026-04-26,,1970s/1977/Sports Review Wrestling 1977 Annual
The Best of The Wrestler - 1977 - Fall.pdf,The Best of The Wrestler,Fall 1977,1977 (Fall),2026-04-26,,1970s/1977/The Best of The Wrestler
The Ring's Wrestling - 1977 - October.pdf,The Ring's Wrestling,October 1977,1977-10-01,2026-04-26,,1970s/1977/The Ring's Wrestling
The Wrestler - 1977 - December.pdf,The Wrestler,December 1977,1977-12-01,2026-04-26,,1970s/1977/The Wrestler
The Wrestler - 1977 - March.pdf,The Wrestler,March 1977,1977-03-01,2026-04-26,,1970s/1977/The Wrestler
The Wrestler - 1977 - November.pdf,The Wrestler,November 1977,1977-11-01,2026-04-26,,1970s/1977/The Wrestler
Wrestling Monthly - 1977 - April.pdf,Wrestling Monthly,April 1977,1977-04-01,2026-04-26,,1970s/1977/Wrestling Monthly
Wrestling Monthly - 1977 - December.pdf,Wrestling Monthly,December 1977,1977-12-01,2026-04-26,,1970s/1977/Wrestling Monthly
Wrestling Monthly - 1977 - November.pdf,Wrestling Monthly,November 1977,1977-11-01,2026-04-26,,1970s/1977/Wrestling Monthly
Wrestling Revue - 1977 - August.pdf,Wrestling Revue,August 1977,1977-08-01,2026-04-26,,1970s/1977/Wrestling Revue
Wrestling Superstars - 1977 - July.pdf,Wrestling Superstars,July 1977,1977-07-01,2026-04-26,,1970s/1977/Wrestling Superstars
Wrestling Superstars - 1977 - October.pdf,Wrestling Superstars,October 1977,1977-10-01,2026-04-26,,1970s/1977/Wrestling Superstars
Inside Wrestling - 1978 - April.pdf,Inside Wrestling,April 1978,1978-04-01,2026-04-26,,1970s/1978/Inside Wrestling
Inside Wrestling - 1978 - August.pdf,Inside Wrestling,August 1978,1978-08-01,2026-04-26,,1970s/1978/Inside Wrestling
Inside Wrestling - 1978 - February.pdf,Inside Wrestling,February 1978,1978-02-01,2026-04-26,,1970s/1978/Inside Wrestling
Inside Wrestling - 1978 - January.pdf,Inside Wrestling,January 1978,1978-01-01,2026-04-26,,1970s/1978/Inside Wrestling
Inside Wrestling - 1978 - July.pdf,Inside Wrestling,July 1978,1978-07-01,2026-04-26,,1970s/1978/Inside Wrestling
Inside Wrestling - 1978 - March.pdf,Inside Wrestling,March 1978,1978-03-01,2026-04-26,,1970s/1978/Inside Wrestling
Inside Wrestling - 1978 - November.pdf,Inside Wrestling,November 1978,1978-11-01,2026-04-26,,1970s/1978/Inside Wrestling
Inside Wrestling - 1978 - October.pdf,Inside Wrestling,October 1978,1978-10-01,2026-04-26,,1970s/1978/Inside Wrestling
Sports Review Wrestling - 1978 - April.pdf,Sports Review Wrestling,April 1978,1978-04-01,2026-04-26,,1970s/1978/Sports Review Wrestling
Sports Review Wrestling - 1978 - December.pdf,Sports Review Wrestling,December 1978,1978-12-01,2026-04-26,,1970s/1978/Sports Review Wrestling
Sports Review Wrestling - 1978 - January.pdf,Sports Review Wrestling,January 1978,1978-01-01,2026-04-26,,1970s/1978/Sports Review Wrestling
Sports Review Wrestling - 1978 - July.pdf,Sports Review Wrestling,July 1978,1978-07-01,2026-04-26,,1970s/1978/Sports Review Wrestling
Sports Review Wrestling - 1978 - March.pdf,Sports Review Wrestling,March 1978,1978-03-01,2026-04-26,,1970s/1978/Sports Review Wrestling
Sports Review Wrestling - 1978 - November.pdf,Sports Review Wrestling,November 1978,1978-11-01,2026-04-26,,1970s/1978/Sports Review Wrestling
Sports Review Wrestling - 1978 - October.pdf,Sports Review Wrestling,October 1978,1978-10-01,2026-04-26,,1970s/1978/Sports Review Wrestling
The Ring's Wrestling - 1978 - January.pdf,The Ring's Wrestling,January 1978,1978-01-01,2026-04-26,,1970s/1978/The Ring's Wrestling
The Ring's Wrestling - 1978 - July.pdf,The Ring's Wrestling,July 1978,1978-07-01,2026-04-26,,1970s/1978/The Ring's Wrestling
The Wrestler - 1978 - November.pdf,The Wrestler,November 1978,1978-11-01,2026-04-26,,1970s/1978/The Wrestler
Wrestling Monthly - 1978 - April.pdf,Wrestling Monthly,April 1978,1978-04-01,2026-04-26,,1970s/1978/Wrestling Monthly
Wrestling Monthly - 1978 - August.pdf,Wrestling Monthly,August 1978,1978-08-01,2026-04-26,,1970s/1978/Wrestling Monthly
Wrestling Monthly - 1978 - January.pdf,Wrestling Monthly,January 1978,1978-01-01,2026-04-26,,1970s/1978/Wrestling Monthly
Wrestling Monthly - 1978 - June.pdf,Wrestling Monthly,June 1978,1978-06-01,2026-04-26,,1970s/1978/Wrestling Monthly
Wrestling Monthly - 1978 - November.pdf,Wrestling Monthly,November 1978,1978-11-01,2026-04-26,,1970s/1978/Wrestling Monthly
Wrestling Monthly - 1978 - October.pdf,Wrestling Monthly,October 1978,1978-10-01,2026-04-26,,1970s/1978/Wrestling Monthly
Wrestling Revue - 1978 - April.pdf,Wrestling Revue,April 1978,1978-04-01,2026-04-26,,1970s/1978/Wrestling Revue
Inside Wrestling - 1979 - August.pdf,Inside Wrestling,August 1979,1979-08-01,2026-04-26,,1970s/1979/Inside Wrestling
Inside Wrestling - 1979 - December.pdf,Inside Wrestling,December 1979,1979-12-01,2026-04-26,,1970s/1979/Inside Wrestling
Inside Wrestling - 1979 - February.pdf,Inside Wrestling,February 1979,1979-02-01,2026-04-26,,1970s/1979/Inside Wrestling
Inside Wrestling - 1979 - January.pdf,Inside Wrestling,January 1979,1979-01-01,2026-04-26,,1970s/1979/Inside Wrestling
Inside Wrestling - 1979 - March.pdf,Inside Wrestling,March 1979,1979-03-01,2026-04-26,,1970s/1979/Inside Wrestling
Inside Wrestling - 1979 - May.pdf,Inside Wrestling,May 1979,1979-05-01,2026-04-26,,1970s/1979/Inside Wrestling
Inside Wrestling - 1979 - November.pdf,Inside Wrestling,November 1979,1979-11-01,2026-04-26,,1970s/1979/Inside Wrestling
Inside Wrestling - 1979 - October.pdf,Inside Wrestling,October 1979,1979-10-01,2026-04-26,,1970s/1979/Inside Wrestling
Inside Wrestling - 1979 - September.pdf,Inside Wrestling,September 1979,1979-09-01,2026-04-26,,1970s/1979/Inside Wrestling
Pro Wrestling Illustrated - 1979 - November.pdf,Pro Wrestling Illustrated,November 1979,1979-11-01,2026-04-26,,1970s/1979/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1979 - September.pdf,Pro Wrestling Illustrated,September 1979,1979-09-01,2026-04-26,,1970s/1979/Pro Wrestling Illustrated
Sports Review Wrestling - 1979 - August.pdf,Sports Review Wrestling,August 1979,1979-08-01,2026-04-26,,1970s/1979/Sports Review Wrestling
Sports Review Wrestling - 1979 - January.pdf,Sports Review Wrestling,January 1979,1979-01-01,2026-04-26,,1970s/1979/Sports Review Wrestling
Sports Review Wrestling - 1979 - March.pdf,Sports Review Wrestling,March 1979,1979-03-01,2026-04-26,,1970s/1979/Sports Review Wrestling
Sports Review Wrestling - 1979 - October.pdf,Sports Review Wrestling,October 1979,1979-10-01,2026-04-26,,1970s/1979/Sports Review Wrestling
Sports Review Wrestling - 1979 - September.pdf,Sports Review Wrestling,September 1979,1979-09-01,2026-04-26,,1970s/1979/Sports Review Wrestling
The Ring's Wrestling - 1979 - January.pdf,The Ring's Wrestling,January 1979,1979-01-01,2026-04-26,,1970s/1979/The Ring's Wrestling
The Wrestler - 1979 - April.pdf,The Wrestler,April 1979,1979-04-01,2026-04-26,,1970s/1979/The Wrestler
The Wrestler - 1979 - December.pdf,The Wrestler,December 1979,1979-12-01,2026-04-26,,1970s/1979/The Wrestler
The Wrestler - 1979 - February.pdf,The Wrestler,February 1979,1979-02-01,2026-04-26,,1970s/1979/The Wrestler
The Wrestler - 1979 - January.pdf,The Wrestler,January 1979,1979-01-01,2026-04-26,,1970s/1979/The Wrestler
The Wrestler - 1979 - May.pdf,The Wrestler,May 1979,1979-05-01,2026-04-26,,1970s/1979/The Wrestler
Victory Sports Wrestling - 1979 - December.pdf,Victory Sports Wrestling,December 1979,1979-12-01,2026-04-26,,1970s/1979/Victory Sports Wrestling
Victory Sports Wrestling - 1979 - September.pdf,Victory Sports Wrestling,September 1979,1979-09-01,2026-04-26,,1970s/1979/Victory Sports Wrestling
Wrestling Monthly - 1979 - January.pdf,Wrestling Monthly,January 1979,1979-01-01,2026-04-26,,1970s/1979/Wrestling Monthly
Wrestling Superstars - 1979 - October.pdf,Wrestling Superstars,October 1979,1979-10-01,2026-04-26,,1970s/1979/Wrestling Superstars
Wrestling Today - 1979 - December.pdf,Wrestling Today,December 1979,1979-12-01,2026-04-26,,1970s/1979/Wrestling Today
Wrestling Today - 1979 - November.pdf,Wrestling Today,November 1979,1979-11-01,2026-04-26,,1970s/1979/Wrestling Today
Inside Wrestling - 1980 - April.pdf,Inside Wrestling,April 1980,1980-04-01,2026-04-26,,1980s/1980/Inside Wrestling
Inside Wrestling - 1980 - August.pdf,Inside Wrestling,August 1980,1980-08-01,2026-04-26,,1980s/1980/Inside Wrestling
Inside Wrestling - 1980 - December.pdf,Inside Wrestling,December 1980,1980-12-01,2026-04-26,,1980s/1980/Inside Wrestling
Inside Wrestling - 1980 - February.pdf,Inside Wrestling,February 1980,1980-02-01,2026-04-26,,1980s/1980/Inside Wrestling
Inside Wrestling - 1980 - January.pdf,Inside Wrestling,January 1980,1980-01-01,2026-04-26,,1980s/1980/Inside Wrestling
Inside Wrestling - 1980 - July.pdf,Inside Wrestling,July 1980,1980-07-01,2026-04-26,,1980s/1980/Inside Wrestling
Inside Wrestling - 1980 - June.pdf,Inside Wrestling,June 1980,1980-06-01,2026-04-26,,1980s/1980/Inside Wrestling
Inside Wrestling - 1980 - March (1).pdf,Inside Wrestling,March 1980,1980-03-01,2026-04-26,,1980s/1980/Inside Wrestling
Inside Wrestling - 1980 - March.pdf,Inside Wrestling,March 1980,1980-03-01,2026-04-26,,1980s/1980/Inside Wrestling
Inside Wrestling - 1980 - May (1).pdf,Inside Wrestling,May 1980,1980-05-01,2026-04-26,,1980s/1980/Inside Wrestling
Inside Wrestling - 1980 - May.pdf,Inside Wrestling,May 1980,1980-05-01,2026-04-26,,1980s/1980/Inside Wrestling
Inside Wrestling - 1980 - November.pdf,Inside Wrestling,November 1980,1980-11-01,2026-04-26,,1980s/1980/Inside Wrestling
Inside Wrestling - 1980 - October.pdf,Inside Wrestling,October 1980,1980-10-01,2026-04-26,,1980s/1980/Inside Wrestling
Inside Wrestling - 1980 - September.pdf,Inside Wrestling,September 1980,1980-09-01,2026-04-26,,1980s/1980/Inside Wrestling
Pro Wrestling Illustrated - 1980 - August.pdf,Pro Wrestling Illustrated,August 1980,1980-08-01,2026-04-26,,1980s/1980/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1980 - December.pdf,Pro Wrestling Illustrated,December 1980,1980-12-01,2026-04-26,,1980s/1980/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1980 - January.pdf,Pro Wrestling Illustrated,January 1980,1980-01-01,2026-04-26,,1980s/1980/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1980 - July.pdf,Pro Wrestling Illustrated,July 1980,1980-07-01,2026-04-26,,1980s/1980/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1980 - March.pdf,Pro Wrestling Illustrated,March 1980,1980-03-01,2026-04-26,,1980s/1980/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1980 - May.pdf,Pro Wrestling Illustrated,May 1980,1980-05-01,2026-04-26,,1980s/1980/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1980 - November.pdf,Pro Wrestling Illustrated,November 1980,1980-11-01,2026-04-26,,1980s/1980/Pro Wrestling Illustrated
Sports Review Wrestling - 1980 - August.pdf,Sports Review Wrestling,August 1980,1980-08-01,2026-04-26,,1980s/1980/Sports Review Wrestling
Sports Review Wrestling - 1980 - December.pdf,Sports Review Wrestling,December 1980,1980-12-01,2026-04-26,,1980s/1980/Sports Review Wrestling
Sports Review Wrestling - 1980 - February.pdf,Sports Review Wrestling,February 1980,1980-02-01,2026-04-26,,1980s/1980/Sports Review Wrestling
Sports Review Wrestling - 1980 - June.pdf,Sports Review Wrestling,June 1980,1980-06-01,2026-04-26,,1980s/1980/Sports Review Wrestling
Sports Review Wrestling - 1980 - May.pdf,Sports Review Wrestling,May 1980,1980-05-01,2026-04-26,,1980s/1980/Sports Review Wrestling
Sports Review Wrestling - 1980 - October.pdf,Sports Review Wrestling,October 1980,1980-10-01,2026-04-26,,1980s/1980/Sports Review Wrestling
Sports Review Wrestling 1980 Annual - 1980 - February.pdf,Sports Review Wrestling 1980 Annual,February 1980,1980-02-01,2026-04-26,,1980s/1980/Sports Review Wrestling 1980 Annual
The Ring's Wrestling - 1980 - April.pdf,The Ring's Wrestling,April 1980,1980-04-01,2026-04-26,,1980s/1980/The Ring's Wrestling
The Wrestler - 1980 - December.pdf,The Wrestler,December 1980,1980-12-01,2026-04-26,,1980s/1980/The Wrestler
The Wrestler - 1980 - February.pdf,The Wrestler,February 1980,1980-02-01,2026-04-26,,1980s/1980/The Wrestler
The Wrestler - 1980 - March.pdf,The Wrestler,March 1980,1980-03-01,2026-04-26,,1980s/1980/The Wrestler
The Wrestler - 1980 - November.pdf,The Wrestler,November 1980,1980-11-01,2026-04-26,,1980s/1980/The Wrestler
The Wrestler - 1980 - October.pdf,The Wrestler,October 1980,1980-10-01,2026-04-26,,1980s/1980/The Wrestler
Wrestling Revue - 1980 - April.pdf,Wrestling Revue,April 1980,1980-04-01,2026-04-26,,1980s/1980/Wrestling Revue
Wrestling Revue - 1980 - February.pdf,Wrestling Revue,February 1980,1980-02-01,2026-04-26,,1980s/1980/Wrestling Revue
Wrestling Revue - 1980 - June.pdf,Wrestling Revue,June 1980,1980-06-01,2026-04-26,,1980s/1980/Wrestling Revue
Wrestling Revue - 1980 - October.pdf,Wrestling Revue,October 1980,1980-10-01,2026-04-26,,1980s/1980/Wrestling Revue
Wrestling Superstars - 1980 - January.pdf,Wrestling Superstars,January 1980,1980-01-01,2026-04-26,,1980s/1980/Wrestling Superstars
Wrestling Superstars - 1980 - March.pdf,Wrestling Superstars,March 1980,1980-03-01,2026-04-26,,1980s/1980/Wrestling Superstars
Wrestling Today - 1980 - Issue 13.pdf,Wrestling Today,Issue 13 1980,1980 (Issue 13),2026-04-26,,1980s/1980/Wrestling Today
Wrestling Today - 1980 - Issue 14.pdf,Wrestling Today,Issue 14 1980,1980 (Issue 14),2026-04-26,,1980s/1980/Wrestling Today
Inside Wrestling - 1981 - April.pdf,Inside Wrestling,April 1981,1981-04-01,2026-04-26,,1980s/1981/Inside Wrestling
Inside Wrestling - 1981 - December.pdf,Inside Wrestling,December 1981,1981-12-01,2026-04-26,,1980s/1981/Inside Wrestling
Inside Wrestling - 1981 - February.pdf,Inside Wrestling,February 1981,1981-02-01,2026-04-26,,1980s/1981/Inside Wrestling
Inside Wrestling - 1981 - July.pdf,Inside Wrestling,July 1981,1981-07-01,2026-04-26,,1980s/1981/Inside Wrestling
Inside Wrestling - 1981 - June.pdf,Inside Wrestling,June 1981,1981-06-01,2026-04-26,,1980s/1981/Inside Wrestling
Inside Wrestling - 1981 - March.pdf,Inside Wrestling,March 1981,1981-03-01,2026-04-26,,1980s/1981/Inside Wrestling
Inside Wrestling - 1981 - May.pdf,Inside Wrestling,May 1981,1981-05-01,2026-04-26,,1980s/1981/Inside Wrestling
Inside Wrestling - 1981 - November.pdf,Inside Wrestling,November 1981,1981-11-01,2026-04-26,,1980s/1981/Inside Wrestling
Inside Wrestling - 1981 - October.pdf,Inside Wrestling,October 1981,1981-10-01,2026-04-26,,1980s/1981/Inside Wrestling
Pro Wrestling Illustrated - 1981 - April.pdf,Pro Wrestling Illustrated,April 1981,1981-04-01,2026-04-26,,1980s/1981/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1981 - August.pdf,Pro Wrestling Illustrated,August 1981,1981-08-01,2026-04-26,,1980s/1981/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1981 - December.pdf,Pro Wrestling Illustrated,December 1981,1981-12-01,2026-04-26,,1980s/1981/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1981 - February.pdf,Pro Wrestling Illustrated,February 1981,1981-02-01,2026-04-26,,1980s/1981/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1981 - January.pdf,Pro Wrestling Illustrated,January 1981,1981-01-01,2026-04-26,,1980s/1981/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1981 - July.pdf,Pro Wrestling Illustrated,July 1981,1981-07-01,2026-04-26,,1980s/1981/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1981 - May.pdf,Pro Wrestling Illustrated,May 1981,1981-05-01,2026-04-26,,1980s/1981/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1981 - October.pdf,Pro Wrestling Illustrated,October 1981,1981-10-01,2026-04-26,,1980s/1981/Pro Wrestling Illustrated
Sports Review Wrestling - 1981 - January.pdf,Sports Review Wrestling,January 1981,1981-01-01,2026-04-26,,1980s/1981/Sports Review Wrestling
Sports Review Wrestling - 1981 - June.pdf,Sports Review Wrestling,June 1981,1981-06-01,2026-04-26,,1980s/1981/Sports Review Wrestling
The Ring's Wrestling - 1981 - August.pdf,The Ring's Wrestling,August 1981,1981-08-01,2026-04-26,,1980s/1981/The Ring's Wrestling
The Wrestler - 1981 - April.pdf,The Wrestler,April 1981,1981-04-01,2026-04-26,,1980s/1981/The Wrestler
The Wrestler - 1981 - August.pdf,The Wrestler,August 1981,1981-08-01,2026-04-26,,1980s/1981/The Wrestler
The Wrestler - 1981 - December.pdf,The Wrestler,December 1981,1981-12-01,2026-04-26,,1980s/1981/The Wrestler
The Wrestler - 1981 - February.pdf,The Wrestler,February 1981,1981-02-01,2026-04-26,,1980s/1981/The Wrestler
The Wrestler - 1981 - January.pdf,The Wrestler,January 1981,1981-01-01,2026-04-26,,1980s/1981/The Wrestler
The Wrestler - 1981 - July.pdf,The Wrestler,July 1981,1981-07-01,2026-04-26,,1980s/1981/The Wrestler
The Wrestler - 1981 - June.pdf,The Wrestler,June 1981,1981-06-01,2026-04-26,,1980s/1981/The Wrestler
The Wrestler - 1981 - March.pdf,The Wrestler,March 1981,1981-03-01,2026-04-26,,1980s/1981/The Wrestler
The Wrestler - 1981 - May.pdf,The Wrestler,May 1981,1981-05-01,2026-04-26,,1980s/1981/The Wrestler
The Wrestler - 1981 - November.pdf,The Wrestler,November 1981,1981-11-01,2026-04-26,,1980s/1981/The Wrestler
The Wrestler - 1981 - October.pdf,The Wrestler,October 1981,1981-10-01,2026-04-26,,1980s/1981/The Wrestler
The Wrestler - 1981 - September.pdf,The Wrestler,September 1981,1981-09-01,2026-04-26,,1980s/1981/The Wrestler
Wrestling News - 1981 - July.pdf,Wrestling News,July 1981,1981-07-01,2026-04-26,,1980s/1981/Wrestling News
Inside Wrestling - 1982 - August.pdf,Inside Wrestling,August 1982,1982-08-01,2026-04-26,,1980s/1982/Inside Wrestling
Inside Wrestling - 1982 - December.pdf,Inside Wrestling,December 1982,1982-12-01,2026-04-26,,1980s/1982/Inside Wrestling
Inside Wrestling - 1982 - January.pdf,Inside Wrestling,January 1982,1982-01-01,2026-04-26,,1980s/1982/Inside Wrestling
Inside Wrestling - 1982 - May.pdf,Inside Wrestling,May 1982,1982-05-01,2026-04-26,,1980s/1982/Inside Wrestling
Inside Wrestling - 1982 - September.pdf,Inside Wrestling,September 1982,1982-09-01,2026-04-26,,1980s/1982/Inside Wrestling
Pro Wrestling Illustrated - 1982 - August.pdf,Pro Wrestling Illustrated,August 1982,1982-08-01,2026-04-26,,1980s/1982/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1982 - December.pdf,Pro Wrestling Illustrated,December 1982,1982-12-01,2026-04-26,,1980s/1982/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1982 - February.pdf,Pro Wrestling Illustrated,February 1982,1982-02-01,2026-04-26,,1980s/1982/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1982 - January.pdf,Pro Wrestling Illustrated,January 1982,1982-01-01,2026-04-26,,1980s/1982/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1982 - June.pdf,Pro Wrestling Illustrated,June 1982,1982-06-01,2026-04-26,,1980s/1982/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1982 - March.pdf,Pro Wrestling Illustrated,March 1982,1982-03-01,2026-04-26,,1980s/1982/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1982 - May.pdf,Pro Wrestling Illustrated,May 1982,1982-05-01,2026-04-26,,1980s/1982/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1982 - November.pdf,Pro Wrestling Illustrated,November 1982,1982-11-01,2026-04-26,,1980s/1982/Pro Wrestling Illustrated
Pro Wrestling Illustrated - 1982 - October.pdf,Pro Wrestling Illustrated,October 1982,1982-10-01,2026-04-26,,1980s/1982/Pro Wrestling Illustrated
