publication_date	list_label	scope	rank	entry_name	pfdb_id	issue_url
1984-11-01	WWF	promotion	5	Jimmy Snuka	114	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	WWF	promotion	7	Paul Orndorff	22	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	WWF	promotion	8	The Iron Sheik	12	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	WWF	promotion	9	David Schultz	4818	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	WWF	promotion	10	George Steele	35	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	AWA	promotion	2	Abdullah The Butcher	512	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	AWA	promotion	5	Jumbo Tsuruta	1040	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	AWA	promotion	6	Jerry Lawler	150	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	AWA	promotion	7	Larry Zbyszko	497	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	AWA	promotion	8	Billy Robinson	1027	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	AWA	promotion	9	Brad Rheingans	1085	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	AWA	promotion	10	Curt Hennig	100	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	NWA	promotion	1	Wahoo McDaniel	535	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	NWA	promotion	2	The Spoiler	1690	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	NWA	promotion	4	Angelo Mosca	5124	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	NWA	promotion	5	Kerry Von Erich	119	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	NWA	promotion	6	Angelo Mosca Jr.	5950	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	NWA	promotion	7	Billy Graham	994	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	NWA	promotion	8	Carlos Colon	155	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	NWA	promotion	9	Gino Hernandez	4044	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	NWA	promotion	10	Ricky Steamboat	5	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Florida	territory	1	Angelo Mosca	5124	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Florida	territory	2	Billy Graham	994	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Florida	territory	3	Billy Jack	62	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Florida	territory	4	Dusty Rhodes	109	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Florida	territory	5	Mike Rotunda	13	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Florida	territory	6	Barry Windham	14	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Florida	territory	7	Dick Slater	649	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Florida	territory	8	Ron Bass	79	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Florida	territory	9	Kevin Sullivan	505	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Georgia	territory	1	The Spoiler	1690	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Georgia	territory	2	Ronnie Garvin	104	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Georgia	territory	3	Ted DiBiase	82	http://www.profightdb.com/pwi-monthly/november-1984-285.html
1984-11-01	Georgia	territory	5	Jake Roberts	37	http://www.profightdb.com/pwi-monthly/november-1984-285.html
