publication_date	list_label	scope	rank	entry_name	issue_url
1984-03-01	WWF	promotion	2	The Magnificent Muraco	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	WWF	promotion	3	Jimmy Snuka	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	WWF	promotion	4	Sergeant Slaughter	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	WWF	promotion	5	Tito Santana	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	WWF	promotion	6	The Iron Sheik	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	WWF	promotion	7	Tony Atlas	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	WWF	promotion	8	Rocky Johnson	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	WWF	promotion	9	Ivan Putski	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	AWA	promotion	1	Hulk Hogan	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	AWA	promotion	3	Rick Martel	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	AWA	promotion	4	Brad Rheingans	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	AWA	promotion	5	Mr. Saito	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	AWA	promotion	6	Ken Patera	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	AWA	promotion	7	Billy Robinson	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	AWA	promotion	9	David Schultz	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	NWA	promotion	1	Greg Valentine	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	NWA	promotion	2	David Von Erich	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	NWA	promotion	3	Barry Windham	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	NWA	promotion	4	Brett Wayne	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	NWA	promotion	6	Mike Rotundo	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	NWA	promotion	7	Ric Flair	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	NWA	promotion	8	Tommy Rich	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	NWA	promotion	9	Buzz Tyler	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	NWA	promotion	10	Carlos Colon	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Florida	territory	1	Mike Rotundo	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Florida	territory	2	Barry Windham	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Florida	territory	3	Dusty Rhodes	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Florida	territory	4	Abdullah The Butcher	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Florida	territory	5	Ron Bass	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Florida	territory	8	Elijah Akeem	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Florida	territory	9	Kareem Muhammad	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Florida	territory	10	Mike Davis	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Georgia	territory	1	Brett Wayne	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Georgia	territory	2	Jake Roberts	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Georgia	territory	4	Buzz Sawyer	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Georgia	territory	5	Tommy Rich	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Georgia	territory	6	Ronnie Garvin	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Georgia	territory	7	Pez Whatley	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Georgia	territory	8	Abdullah The Butcher	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Georgia	territory	9	King Kong Bundy	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Georgia	territory	10	Ted DiBiase	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-Atlantic	territory	1	Greg Valentine	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-Atlantic	territory	3	Roddy Piper	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-Atlantic	territory	4	Dick Slater	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-Atlantic	territory	5	Ric Flair	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-Atlantic	territory	7	The Great Kabuki	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-Atlantic	territory	8	Charlie Brown	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-Atlantic	territory	9	Bugsy McGraw	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-Atlantic	territory	10	Kevin Sullivan	http://www.profightdb.com/pwi-monthly/march-1984-277.html
1984-03-01	Mid-South	territory	1	Terry Allen	http://www.profightdb.com/pwi-monthly/march-1984-277.html
